timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650707404119,505,Perform registration-1,200,OK,Thread Group of 100 users 1-21,text,true,,6170,126,1,3,https://blazedemo.com/register,496,0,0
1650707403829,817,Perform registration,200,OK,Thread Group of 300 users 3-61,text,true,,6401,518,2,3,https://blazedemo.com/register,318,0,0
1650707403829,318,Perform registration-0,302,Found,Thread Group of 300 users 3-61,text,true,,227,392,2,3,http://blazedemo.com/register,318,0,0
1650707404147,499,Perform registration-1,200,OK,Thread Group of 300 users 3-61,text,true,,6174,126,2,3,https://blazedemo.com/register,486,0,0
1650707403809,1067,Open registration page Request,200,OK,Thread Group of 300 users 3-62,text,true,,6403,252,3,4,https://blazedemo.com/register,392,0,68
1650707403809,392,Open registration page Request-0,302,Found,Thread Group of 300 users 3-62,text,true,,227,126,3,4,http://blazedemo.com/register,392,0,68
1650707404202,674,Open registration page Request-1,200,OK,Thread Group of 300 users 3-62,text,true,,6176,126,3,4,https://blazedemo.com/register,661,0,201
1650707404646,788,Login,200,OK,Thread Group of 300 users 3-61,text,true,,5792,403,3,4,https://blazedemo.com/login,308,0,0
1650707404646,308,Login-0,302,Found,Thread Group of 300 users 3-61,text,true,,224,280,3,4,http://blazedemo.com/login,308,0,0
1650707404954,480,Login-1,200,OK,Thread Group of 300 users 3-61,text,true,,5568,123,3,4,https://blazedemo.com/login,469,0,0
1650707404625,914,Login,200,OK,Thread Group of 100 users 1-21,text,true,,5790,403,1,3,https://blazedemo.com/login,322,0,0
1650707404625,322,Login-0,302,Found,Thread Group of 100 users 1-21,text,true,,224,280,1,3,http://blazedemo.com/login,322,0,0
1650707404947,592,Login-1,200,OK,Thread Group of 100 users 1-21,text,true,,5566,123,1,3,https://blazedemo.com/login,579,0,0
1650707404876,777,Perform registration,200,OK,Thread Group of 300 users 3-62,text,true,,6401,518,2,2,https://blazedemo.com/register,316,0,0
1650707404876,316,Perform registration-0,302,Found,Thread Group of 300 users 3-62,text,true,,227,392,2,2,http://blazedemo.com/register,316,0,0
1650707405192,461,Perform registration-1,200,OK,Thread Group of 300 users 3-62,text,true,,6174,126,2,2,https://blazedemo.com/register,455,0,0
